"strings","oPE","freq","Npix","CN","OLD20"
"Warum",427,4.500565777,6298.34117647059,4,1.7
"Ihnen",399,4.430058922,6332.42745098039,6,1.7
"Danke",362,4.416024404,6283.42745098039,10,1.35
"Leben",379,4.33241826,6309.21568627451,16,1
"Nicht",412,4.322384709,6324.85882352941,10,1.35
"Leute",371,4.301507457,6364.65882352941,12,1.35
"Jetzt",401,4.265572462,6396.70588235294,9,1.55
"Hallo",414,4.242839469,6339.55294117647,3,1.8
"Bitte",381,4.222898473,6350.31764705882,7,1.4
"Vater",397,4.21861427,6375.4431372549,3,1.75
"Alles",456,4.214181309,6359.30980392157,6,1.6
"Keine",354,4.147150525,6330.64705882353,21,1
"Meine",392,4.14578667,6312.48235294118,20,1
"Nacht",373,4.08557597,6295.73725490196,15,1
"Wieso",406,4.052540046,6340.61960784314,2,1.85
"Hause",316,4.048247532,6303.79607843137,9,1.25
"Angst",436,4.032215703,6284.94117647059,1,1.95
"Diese",374,3.994361152,6338.85882352941,11,1.1
"Haben",338,3.977769318,6259.56862745098,13,1.1
"Weißt",443,3.951288937,6312.91764705882,10,1.4
"Abend",438,3.944680034,6243.4431372549,1,1.75
"Jahre",396,3.943543977,6350.25098039216,6,1.55
"Sache",344,3.940167714,6298.42352941176,12,1.25
"Hilfe",432,3.909983695,6343.97647058824,2,1.8
"Genau",360,3.885869861,6311.70980392157,1,1.9
"Junge",419,3.884795364,6312.54509803922,4,1.6
"Stadt",405,3.882581454,6303.6431372549,3,1.85
"Recht",364,3.878119485,6305.2,6,1.45
"Warte",375,3.877428941,6343.84705882353,15,1
"Dinge",414,3.86946641,6289.80784313726,9,1.3
"Namen",381,3.869114327,6248.16470588235,7,1.45
"Augen",416,3.848558572,6273.0431372549,6,1.55
"Glück",462,3.843419665,6311.55294117647,0,1.95
"Deine",361,3.83828225,6332.39215686274,17,1
"Liebe",414,3.826657792,6340.4,10,1.2
"Musik",453,3.800235789,6307.41960784314,0,2.45
"Guten",372,3.786964259,6327.32941176471,11,1.35
"Grund",423,3.774735883,6301.36470588235,0,1.9
"Schon",364,3.766115283,6299.4,4,1.7
"Macht",403,3.760422483,6292.82745098039,15,1
"Seite",369,3.744449457,6351.47450980392,13,1.25
"Frage",401,3.741466762,6313.42352941176,5,1.6
"Gehen",365,3.737749074,6280.50196078431,10,1.4
"Essen",335,3.736874362,6305.10588235294,4,1.6
"Kommt",445,3.731669332,6246.89019607843,4,1.65
"Einen",356,3.730862992,6323.3568627451,9,1.35
"Spiel",463,3.720820582,6316.75294117647,2,1.65
"Woche",377,3.686368103,6298.69019607843,5,1.7
"Woher",393,3.66829271,6308.27843137255,5,1.75
"Arsch",419,3.656194062,6329.73725490196,0,2
"Heute",332,3.64650175,6314.91764705882,13,1.3
"Waffe",421,3.643353962,6306.17254901961,4,1.7
"Schau",364,3.641176547,6306.73725490196,7,1.35
"Wagen",398,3.63447727,6259.40784313725,23,1
"Schön",376,3.632558515,6279.85882352941,2,1.85
"Hände",352,3.62065648,6235.06274509804,6,1.65
"Sehen",346,3.618884485,6281.77647058824,12,1.15
"Krieg",435,3.60906055,6314.20392156863,0,1.85
"Lasst",381,3.602168551,6365.43529411765,11,1.3
"Platz",417,3.595496222,6378.69803921569,3,1.75
"Sagen",374,3.58546073,6262.0862745098,22,1
"Sorge",391,3.580012113,6291.17254901961,5,1.7
"Menge",407,3.568201724,6240.68235294118,1,1.85
"Typen",490,3.565965817,6261.05490196078,0,1.95
"Szene",340,3.563599729,6321.07058823529,0,1.95
"Hölle",423,3.562887381,6319.91764705882,5,1.7
"Feuer",352,3.553640336,6364.22745098039,8,1.35
"Alter",446,3.546912643,6371.93333333333,10,1.3
"Jeder",416,3.542078146,6338.53333333333,9,1.5
"Hören",352,3.526985069,6296.59215686275,6,1.5
"Bleib",438,3.51295108,6312.20784313725,2,1.75
"Damit",429,3.502973059,6312.06274509804,1,1.9
"Stück",416,3.501470072,6305.77647058824,3,1.75
"Sieht",406,3.49037992,6328.67450980392,9,1.3
"Licht",433,3.489677292,6377.34509803922,11,1.3
"Folge",422,3.488550717,6314.96078431373,4,1.7
"Seine",356,3.475816413,6333.79215686275,23,1
"Idiot",454,3.463594402,6372.70980392157,0,2.7
"Tagen",415,3.455149521,6274.03921568627,19,1
"Etwas",390,3.450403086,6303.3137254902,1,2.05
"König",436,3.448087667,6271.56078431373,0,1.85
"Onkel",455,3.444357126,6313.81568627451,1,1.85
"Ihren",412,3.436639632,6358.56862745098,11,1.35
"Liste",411,3.435525851,6390.05882352941,10,1.35
"Kampf",462,3.434568904,6224.72156862745,1,1.85
"Boden",356,3.428296814,6256.32156862745,9,1.4
"Wohin",413,3.427486109,6311.35294117647,3,1.85
"Party",439,3.426998959,6349.90980392157,1,1.85
"Frank",404,3.42373725,6334.19607843137,7,1.6
"Unser",372,3.414973348,6343.13333333333,2,1.75
"David",436,3.410777233,6325.3568627451,1,2.45
"Traum",462,3.409256652,6312.97254901961,2,1.75
"Tages",412,3.403292145,6280.50588235294,5,1.65
"Kraft",414,3.40277707,6344.4862745098,3,1.85
"Geben",372,3.381656483,6273.85490196078,19,1
"Sonst",358,3.378579576,6327.82745098039,2,1.85
"Immer",490,3.362293938,6308.07450980392,1,1.95
"Beste",336,3.359266165,6309.8862745098,13,1.1
"Ärger",471,3.355259906,6295.50980392157,3,1.7
"Rolle",417,3.354108439,6346.27058823529,16,1.05
"Tisch",439,3.349665984,6343.99607843137,7,1.55
"Dafür",411,3.347134783,6319.29411764706,1,2.2
"Laden",384,3.341434525,6304.33333333333,16,1.05
"Worte",384,3.335658452,6346.79215686275,8,1.4
"Firma",431,3.334453751,6347.11764705882,0,2
"Einer",373,3.334252642,6349.49803921569,7,1.55
"Darum",409,3.330616667,6299.61960784314,4,1.75
"Falls",423,3.323664536,6381.86274509804,7,1.5
"Ihrer",429,3.314288661,6384.70980392157,5,1.65
"Bring",434,3.312388949,6298.50980392157,1,1.8
"Insel",442,3.300812794,6384.45882352941,1,1.9
"Hotel",393,3.298853076,6332.40784313725,2,1.85
"Monat",390,3.294906911,6302.1137254902,0,1.85
"James",411,3.291590826,6315.27058823529,0,2
"Seele",375,3.289365952,6329.30980392157,1,1.85
"Geist",398,3.288472801,6354.69803921569,9,1.45
"Wegen",400,3.285557309,6259.3137254902,20,1
"Weile",424,3.283074975,6355.84705882353,25,1
"Agent",438,3.282848603,6280.4431372549,0,1.95
"Anruf",436,3.278982117,6340.90588235294,1,1.95
"Peter",369,3.276921132,6363.51764705882,3,1.8
"Bauer",338,3.276461804,6322.25490196078,11,1.2
"Karte",351,3.276231958,6343.38039215686,9,1.35
"Opfer",461,3.273464273,6296.36862745098,1,1.7
"Ernst",366,3.272769587,6340.49411764706,2,1.8
"Homer",389,3.267171728,6279.99607843137,1,1.9
"Wovon",401,3.260071388,6333.30196078431,2,2.05
"Ihrem",462,3.24723655,6322.43137254902,5,1.7
"Punkt",398,3.246990699,6325.84705882353,5,1.65
"Armee",424,3.230448921,6295.34901960784,3,1.75
"Preis",404,3.228400359,6381.51764705882,3,1.75
"Reise",351,3.218797998,6331.41568627451,15,1.15
"Sonne",334,3.213517757,6305.64705882353,8,1.55
"Damen",381,3.20871002,6265.16470588235,5,1.55
"Blick",446,3.203576775,6336.39607843137,4,1.65
"übrig",499,3.19838213,6313.44705882353,1,2.35
"Haare",330,3.195068996,6315.25098039216,3,1.7
"Billy",521,3.186956335,6350.71764705882,2,1.8
"Brief",418,3.186391216,6344.16862745098,0,1.75
"Robin",391,3.18582536,6298.54117647059,1,1.9
"Handy",418,3.1775365,6240.89019607843,2,1.8
"Beine",345,3.169968174,6316.92156862745,21,1
"Bombe",390,3.165244326,6225.16078431373,0,1.9
"Herrn",356,3.163161375,6337.26666666667,1,1.8
"Tante",379,3.161966616,6332.33725490196,9,1.45
"Weise",380,3.159867847,6337.58039215686,15,1.1
"Paris",384,3.159567193,6381.61176470588,2,1.9
"Feind",402,3.151982395,6324.56470588235,2,1.75
"Reden",354,3.150142162,6261.30980392157,7,1.6
"Viele",451,3.146438135,6387.4431372549,5,1.6
"Durch",383,3.139879086,6329.41568627451,1,1.9
"Witze",400,3.132579848,6365.29019607843,6,1.55
"Eines",353,3.128076013,6329.82352941176,5,1.65
"Bevor",377,3.115943177,6342.21176470588,1,1.95
"Fotos",357,3.113943352,6358.03137254902,2,1.85
"Jesus",384,3.112269768,6366.09411764706,0,2
"Stell",470,3.110252917,6367.78823529412,5,1.6
"Henry",410,3.105510185,6299.39215686274,0,2.2
"Pferd",448,3.104828404,6314.4862745098,0,2.15
"Würde",411,3.101059355,6282.39215686274,9,1.45
"Küche",367,3.096214585,6283.96078431373,2,1.8
"Sogar",406,3.094471129,6291.26666666667,1,1.9
"Wisst",417,3.08849047,6357.79215686275,8,1.55
"Suche",355,3.087071206,6306.6431372549,6,1.45
"Knast",360,3.084218687,6321.73725490196,0,2
"Hörst",372,3.079181246,6318.77254901961,3,1.75
"Steve",391,3.078819183,6347.58431372549,2,1.85
"Meter",397,3.07809415,6325.12156862745,4,1.5
"Pause",337,3.075546961,6336.53725490196,6,1.65
"Neues",336,3.075546961,6300.9568627451,4,1.75
"Wofür",438,3.071513805,6320.96078431373,1,2.5
"Super",397,3.06595298,6297.25882352941,1,1.95
"Drink",436,3.057285644,6336.72156862745,2,1.8
"Kugel",439,3.055378331,6291.89411764706,1,1.85
"Wirst",425,3.054995862,6377.46666666667,9,1.4
"Ohren",398,3.054995862,6312.26666666667,7,1.6
"Gutes",369,3.053078443,6333.79607843137,6,1.55
"Major",464,3.047274867,6323.49411764706,0,2.2
"Stein",399,3.044931546,6349.50588235294,6,1.55
"Katze",336,3.041787319,6335.70196078431,2,1.75
"Kleid",458,3.036628895,6320.9568627451,2,1.8
"Serie",369,3.034628457,6359.93333333333,1,1.9
"Fisch",399,3.031408464,6357.23921568627,6,1.55
"Virus",428,3.029789471,6401.66274509804,0,2
"Thema",449,3.027349608,6257.6862745098,1,2.35
"Figur",444,3.024485668,6350.85882352941,0,2.55
"Druck",410,3.022428371,6332.37254901961,1,1.8
"Fluss",396,3.021189299,6371.81568627451,3,1.85
"Daten",347,3.019531685,6318.98431372549,11,1.45
"Hunde",350,3.01911629,6262.81176470588,11,1.3
"Falle",414,3.018700499,6377.36470588235,15,1.05
"Tiere",425,3.011570444,6371.8862745098,6,1.55
"Autos",388,3.011147361,6340.84705882353,1,1.85
"Hätte",352,3.010723865,6302.88235294118,5,1.65
"Außer",430,3.008600172,6305.89019607843,2,1.9
"Reihe",365,3.007320953,6304.11764705882,15,1.1
"Toten",391,3.003891166,6335.28235294118,20,1
"Engel",428,3.000867722,6276.29019607843,5,1.5
"Nehmt",414,2.998695158,6242.95294117647,3,1.8
"Vogel",476,2.998259338,6318.68235294118,1,1.9
"Roger",396,2.997823081,6282.32941176471,2,1.85
"Unter",380,2.996073654,6354.34901960784,3,1.7
"Marge",418,2.993876915,6266.91764705882,3,1.8
"Erste",362,2.993876915,6342.46274509804,2,1.6
"Wollt",468,2.992995098,6368.14901960784,8,1.5
"Filme",452,2.992553518,6345.61568627451,3,1.7
"Pläne",404,2.987666265,6324.99215686275,1,1.9
"Waren",365,2.984077034,6326.16470588235,10,1
"Farbe",359,2.983175072,6326.56078431373,4,1.75
"Natur",376,2.982723388,6336.43921568627,0,1.95
"Regen",371,2.977266212,6253.14901960784,18,1
"Halte",370,2.970811611,6329.46274509804,18,1
"Rufen",370,2.965201701,6305.15294117647,7,1.5
"Story",458,2.958563883,6335.76862745098,0,2
"Jedes",396,2.958563883,6318.85882352941,5,1.7
"Jones",374,2.957607287,6354.35294117647,2,1.85
"Ganze",343,2.956648579,6319.89019607843,7,1.45
"Dreck",410,2.955206538,6324.05882352941,1,1.85
"Anzug",431,2.948412966,6289.53725490196,1,2
"Steig",448,2.947433722,6308.89019607843,5,1.5
"Davon",374,2.946943271,6331.63529411765,3,1.8
"Guter",389,2.944482672,6353.47058823529,6,1.65
"Seien",359,2.942999593,6333.79215686275,3,1.35
"Runde",357,2.942504106,6269.62352941177,10,1.3
"Stock",408,2.941014244,6320.03921568627,3,1.8
"Panik",409,2.940516485,6331.12941176471,0,2
"Wesen",359,2.935507266,6306.39607843137,6,1.4
"Braut",372,2.935003151,6337.96862745098,7,1.45
"Rache",339,2.92992956,6289.58039215686,12,1.25
"Radio",391,2.928395852,6295.62745098039,1,1.9
"Glaub",440,2.925312091,6306.99607843137,1,1.75
"Lügen",425,2.924795996,6284.85490196078,10,1.45
"Labor",403,2.924795996,6338.49019607843,0,2.1
"Stopp",453,2.923761961,6241.75294117647,1,1.8
"Warst",385,2.922725458,6348.34509803922,8,1.4
"Genug",410,2.922206277,6269.03137254902,3,1.85
"Milch",472,2.920645001,6329,1,1.9
"Maria",412,2.919078092,6338.81176470588,2,1.8
"Kerle",384,2.918554531,6350.33725490196,10,1.4
"Werde",390,2.915927212,6293.61568627451,9,1.35
"Gäste",377,2.910090546,6306.04705882353,3,1.8
"Trick",470,2.907948522,6366.62745098039,1,1.85
"Lager",418,2.907411361,6322.3137254902,11,1.2
"Ehren",358,2.90579588,6297.48235294118,7,1.55
"Kiste",382,2.899820502,6352.82745098039,8,1.55
"Bauch",346,2.898725182,6289.86666666667,5,1.45
"Video",437,2.896526217,6333.29411764706,0,2.15
"Fahrt",381,2.895422546,6348.92156862745,4,1.75
"Affen",444,2.894869657,6309.52549019608,3,1.8
"Prinz",404,2.894316063,6391.54509803922,0,2
"Zunge",391,2.890421019,6288.3568627451,4,1.7
"Stuhl",439,2.888740961,6330.53725490196,1,1.9
"Zähne",364,2.886490725,6280.39215686274,7,1.55
"Jeden",399,2.88536122,6312.39215686274,9,1.5
"Sechs",355,2.881384657,6302.82745098039,2,1.85
"Freut",386,2.877946952,6379.94117647059,3,1.8
"Pilot",440,2.874481818,6394.36470588235,0,1.95
"Holen",369,2.874481818,6314.72549019608,6,1.5
"Ideen",408,2.871572936,6322.77254901961,0,1.95
"Dabei",393,2.871572936,6305.00784313725,2,1.9
"Türen",406,2.868644438,6329.47843137255,3,1.7
"Bühne",353,2.866287339,6253.68235294118,5,1.7
"Brust",371,2.863917377,6342.37254901961,3,1.7
"Genie",375,2.860338007,6332.51764705882,1,1.8
"Größe",435,2.858537198,6277.06274509804,2,1.75
"Ärzte",419,2.857935265,6346.12941176471,0,1.95
"Mitte",427,2.854913022,6345.87843137255,9,1.45
"Strom",431,2.851869601,6311.36470588235,1,2.15
"Kunst",358,2.850646235,6329.9568627451,2,1.9
"Tritt",461,2.850033258,6403.3137254902,4,1.65
"Jacke",400,2.849419414,6343.61960784314,9,1.45
"Zelle",426,2.848189117,6370.12549019608,14,1.25
"Stich",412,2.848189117,6343.25882352941,1,1.75
"Hatte",339,2.846337112,6322.41176470588,14,1.2
"Ruhig",436,2.84509804,6269.84705882353,1,1.9
"Chaos",388,2.84260924,6320.50196078431,2,2.05
"Pfund",431,2.841984805,6296.65882352941,1,1.9
"älter",458,2.834420704,6386.52941176471,3,1.7
"Wüste",391,2.833784375,6312.85490196078,6,1.55
"Alarm",492,2.832508913,6318.20784313725,0,1.85
"Armen",436,2.831869774,6293.38039215686,10,1.3
"Finde",392,2.828015064,6324.56470588235,11,1.25
"Krebs",385,2.826074803,6302.62352941177,1,1.9
"Beide",371,2.826074803,6284.46666666667,14,1.2
"Bulle",414,2.824125834,6343.51764705882,4,1.7
"Stoff",452,2.821513528,6327.50980392157,0,1.9
"Films",460,2.820857989,6350.1137254902,2,1.75
"Pizza",381,2.810232518,6385.92941176471,1,2.65
"Dämon",402,2.809559715,6248.67450980392,0,2.15
"Texas",389,2.808210973,6332.82745098039,0,2.3
"Magst",431,2.805500858,6262.9568627451,11,1.35
"Kohle",393,2.805500858,6306.40392156863,9,1.45
"Japan",413,2.803457116,6305.23137254902,0,2.15
"Süden",381,2.802773725,6258.92941176471,3,1.75
"Daran",352,2.79518459,6327.53725490196,2,1.85
"China",415,2.786751422,6340.21176470588,0,2.2
"Wache",368,2.784617293,6295.74509803922,13,1.1
"Passt",362,2.783903579,6348.43529411765,11,1.3
"öfter",463,2.783188691,6367.80392156863,2,1.85
"Staat",376,2.780317312,6338.16078431373,3,1.7
"Beruf",386,2.779596491,6323.26666666667,0,1.85
"Tests",395,2.778874472,6343.20784313725,3,1.8
"Regel",426,2.777426822,6277.88235294118,7,1.4
"Stolz",420,2.776701184,6364.5568627451,2,1.85
"Wurde",399,2.77524626,6301.92941176471,5,1.65
"Osten",383,2.773054693,6331.10588235294,2,1.8
"Gerät",392,2.773054693,6325.72156862745,2,1.8
"Steht",396,2.772321707,6315.17254901961,4,1.5
"Hosen",331,2.769377326,6296.45882352941,11,1.35
"Simon",423,2.764176132,6298.72549019608,0,2
"Teams",420,2.763427994,6284.98431372549,0,1.95
"Linie",420,2.763427994,6397.09411764706,5,1.7
"Trink",471,2.758154622,6350.07450980392,5,1.6
"Locke",396,2.758154622,6338.41176470588,9,1.4
"Gegen",396,2.758154622,6260.71764705882,17,1.05
"Legen",403,2.756636108,6296.07843137255,22,1
"Magen",410,2.755112266,6240.77647058824,20,1
"Vögel",490,2.754348336,6299.14117647059,2,1.75
"Griff",492,2.754348336,6360.87058823529,3,1.8
"Knopf",434,2.753583059,6263.80392156863,4,1.7
"Ralph",430,2.752816431,6255.98823529412,0,2.5
"Ratte",346,2.752048448,6329.22352941176,12,1.3
"Babys",411,2.748962861,6251.11764705882,0,1.95
"Sturm",437,2.746634199,6316.63921568627,3,1.75
"Motor",413,2.746634199,6331.2,1,1.85
"Drama",414,2.746634199,6291.4,0,1.95
"Titel",476,2.745074792,6386.19215686274,2,1.8
"Teile",441,2.745074792,6370.47843137255,18,1
"Decke",368,2.743509765,6299.8862745098,15,1.05
"Tolle",463,2.741151599,6367.06666666667,12,1.1
"Zweck",436,2.737987326,6304.26666666667,1,1.85
"Helft",417,2.737987326,6330.47450980392,3,1.75
"Denkt",387,2.733999287,6299.04705882353,9,1.45
"Gehst",385,2.73239376,6302.68235294118,3,1.75
"Fälle",427,2.729974286,6357.83529411765,5,1.7
"Spike",435,2.72916479,6274.14509803922,1,1.85
"Suppe",415,2.726727209,6231.3137254902,3,1.8
"Stern",387,2.726727209,6344.46274509804,3,1.75
"Magie",436,2.725094521,6271.96078431373,2,1.85
"Ihres",409,2.722633923,6365.03529411765,6,1.6
"Höhle",395,2.722633923,6274.35294117647,2,1.8
"Daher",367,2.720159303,6306.61176470588,4,1.8
"Lange",395,2.719331287,6296.17254901961,15,1
"Fluch",415,2.718501689,6354.60392156863,1,1.8
"Alice",440,2.716003344,6375.84705882353,0,1.95
"Worum",436,2.715167358,6301.2862745098,3,1.8
"Kreis",394,2.713490543,6361.2862745098,4,1.7
"Akten",420,2.710963119,6303.18431372549,3,1.75
"Reich",378,2.705863712,6318.70196078431,6,1.5
"Weiße",420,2.703291378,6297.20392156863,15,1
"Media",430,2.701567985,6280.12156862745,0,2.35
"Welch",422,2.699837726,6318.41568627451,3,1.8
"Stark",419,2.698100546,6326.68235294118,8,1.5
"Große",423,2.698100546,6296.60392156863,4,1.55
"Womit",456,2.696356389,6313.72941176471,3,1.95
"Sicht",407,2.696356389,6343.25882352941,12,1.3
"Gnade",383,2.695481676,6268.97254901961,1,1.9
"Rauch",351,2.694605199,6297.89411764706,5,1.5
"Regie",397,2.693726949,6284.33333333333,1,1.85
"Öffne",458,2.691965103,6293.57647058824,1,2.1
"Kreuz",373,2.688419822,6352.38039215686,0,1.9
"Heißt",407,2.685741739,6299.94117647059,10,1.45
"Berge",373,2.683947131,6271.26274509804,4,1.65
"Wette",377,2.682145076,6335.29411764706,16,1.05
"Maske",398,2.679427897,6269.98431372549,4,1.75
"übers",425,2.677606953,6331.3137254902,5,1.7
"Könnt",369,2.674861141,6298.67450980392,5,1.65
"Basis",357,2.672097858,6327.98039215686,1,1.9
"Kette",352,2.669316881,6334.82745098039,11,1.3
"Tasse",372,2.667452953,6327.58823529412,15,1.2
"Probe",390,2.666517981,6321.39607843137,3,1.75
"Puppe",423,2.665580991,6248.4,4,1.75
"Cäsar",394,2.664641976,6345,0,2.8
"Köpfe",422,2.662757832,6246.23137254902,5,1.6
"Euren",341,2.661812686,6328.59607843137,10,1.45
"April",515,2.661812686,6343.66274509804,0,2.5
"Links",430,2.660865478,6352.53333333333,3,1.75
"Lauft",414,2.6599162,6365.85882352941,12,1.25
"Hütte",363,2.6599162,6311.09411764706,3,1.75
"Humor",400,2.6599162,6288.30980392157,1,1.95
"Fürst",387,2.658964843,6364.90196078431,2,1.8
"Julia",457,2.657055853,6409.17254901961,1,2
"Wunde",385,2.656098202,6275.78823529412,12,1.25
"Start",396,2.656098202,6362.23921568627,11,1.25
"Todes",404,2.654176542,6291.61176470588,3,1.75
"Kabel",404,2.654176542,6296.81176470588,7,1.55
"Blume",418,2.653212514,6282.64705882353,2,1.85
"Betty",422,2.649334859,6307.4,2,1.8
"Süßer",412,2.648360011,6283.61568627451,5,1.7
"Sagte",385,2.648360011,6279.76862745098,10,1.3
"Miete",418,2.648360011,6330.16470588235,10,1.4
"Übung",452,2.64738297,6231.21568627451,0,2.45
"Staub",394,2.646403726,6301.21960784314,3,1.6
"Bande",340,2.646403726,6253.37647058823,11,1.25
"Sport",423,2.644438589,6307.69803921569,5,1.65
"Tiger",472,2.641474111,6329.30196078431,1,1.8
"Penis",372,2.641474111,6355.37647058823,0,2
"Markt",428,2.638489257,6305.37254901961,5,1.7
"Lesen",363,2.63748973,6343.16078431373,9,1.4
"Söhne",363,2.636487896,6265.27450980392,6,1.65
"Eurer",358,2.63447727,6354.73725490196,7,1.55
"Marie",403,2.630427875,6338.71764705882,5,1.65
"Helen",362,2.630427875,6311.6862745098,4,1.45
"Taten",382,2.629409599,6332.33725490196,16,1
"Mauer",385,2.629409599,6317.81568627451,11,1.3
"Töten",404,2.62838893,6315.74117647059,13,1.25
"Autor",409,2.627365857,6360.52156862745,2,1.8
"Musst",402,2.626340367,6318.25882352941,2,1.75
"Prost",394,2.625312451,6371.05490196078,4,1.7
"Setzt",362,2.62324929,6354.46666666667,11,1.4
"Mäuse",378,2.62324929,6278.61176470588,1,1.85
"Nutte",369,2.622214023,6327.8862745098,2,1.8
"Krise",383,2.621176282,6361.2862745098,1,1.85
"Kanal",387,2.617000341,6324.38431372549,2,1.8
"Ziele",424,2.615950052,6376.57647058824,10,1.35
"Carol",430,2.615950052,6385.74117647059,0,2.05
"Zieht",416,2.613841822,6346.72549019608,9,1.45
"Stand",402,2.613841822,6285.96078431373,2,1.7
"Täter",412,2.611723308,6338.94901960784,4,1.65
"Kopie",402,2.611723308,6293.88235294118,1,1.9
"Alten",429,2.611723308,6345.79215686275,10,1.4
"Stirb",434,2.609594409,6346.2,3,1.8
"Spion",417,2.609594409,6295.05882352941,0,1.85
"Allen",460,2.608526034,6352.8431372549,12,1.25
"Kekse",358,2.606381365,6288.05490196078,0,1.9
"Bösen",346,2.605305046,6275.70196078431,13,1.2
"Asche",387,2.604226053,6305.56470588235,2,1.9
"Angel",471,2.604226053,6287.49411764706,1,1.7
"Stift",443,2.603144373,6368.29411764706,0,1.9
"Hitze",364,2.602059991,6352.3137254902,6,1.7
"Haken",348,2.602059991,6269.17254901961,8,1.45
"Lloyd",528,2.600972896,6318.30980392157,0,2.75
